,CALSEK01_EVE001,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE005,CALSEK01_EVE002,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE004,CALSEK01_EVE005,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE002,CALSEK01_EVE003,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE009,CALSEK01_EVE007,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE001,CALSEK01_EVE010,CALSEK01_EVE014,CALSEK01_EVE017,CALSEK01_EVE016,CALSEK01_EVE018,CALSEK01_EVE011,CALSEK01_EVE012,CALSEK01_EVE013,CALSEK01_EVE015,CALSEK01_EVE019,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE011,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE012,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE017,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE019,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE015,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE013,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE016,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE018,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE014,CALSEK01_EVE046,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE053,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE057,CALSEK01_EVE045,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE054,CALSEK01_EVE044,CALSEK01_EVE051,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE059,CALSEK01_EVE041,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE051,CALSEK01_EVE048,CALSEK01_EVE043,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE050,CALSEK01_EVE049,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE058,CALSEK01_EVE050,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE064,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE056,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE061,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE062,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE063,CALSEK01_EVE052,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE060,CALSEK01_EVE047,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE055,CALSEK01_EVE037 (reversed),CALSEK01_EVE038 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE042 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE043 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE044 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE040 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE041 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE039 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE052,CALSEK01_EVE029 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE026 (reversed),CALSEK01_EVE030 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE030 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE008 (reversed),CALSEK01_EVE022,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE010,CALSEK01_EVE025,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE023,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE027,CALSEK01_EVE031,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE031,CALSEK01_EVE033,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE034,CALSEK01_EVE034,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE033,CALSEK01_EVE035,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE038,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE037,CALSEK01_EVE036,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE035,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE036,CALSEK01_EVE039,CALSEK01_EVE040,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE045,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE046,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE047,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE048,CALSEK01_EVE020,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE020,CALSEK01_EVE023,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE021,CALSEK01_EVE028,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE029,CALSEK01_EVE027,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE028,CALSEK01_EVE009,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE006,CALSEK01_EVE026,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE024,CALSEK01_EVE006,CALSEK01_EVE008 (reversed),GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE003 (reversed),CALSEK01_EVE021,CALSEK01_EVE004,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE007,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE025,CALSEK01_EVE024,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE022,CALSEK01_EVE032,GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE032
CALSEK01_EVE010,17.7015,19.5846,17.8571,17.8571,20.2825,20.2825,25.3438,25.3123,18.8462,8.5137,,96.4567,98.3498,96.9315,95.9514,85.6522,85.7143,86.4431,86.3703,89.1498,89.1498,89.1498,89.1498,89.1498,89.0688,88.9879,88.9879,89.0688,88.9069,19.3617,19.3617,22.1060,24.2718,24.2718,19.3878,13.8075,16.7031,21.1406,21.1406,25.1748,19.2845,19.1099,20.1361,20.1361,20.0680,20.0680,21.1765,20.0000,20.0680,20.1361,16.0448,16.0448,19.8198,19.5195,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.2752,13.6731,15.8076,16.2807,16.9190,19.2889,18.9501,21.2855,20.8145,12.1872,12.1065,29.0123,10.8466,10.8466,12.8554,13.6095,18.2203,18.2203,19.1781,19.1781,19.3493,19.1781,19.1781,19.1781,17.5393,17.5393,17.5393,17.5393,17.5393,17.5393,22.3214,20.4787,21.1345,21.4090,14.0713,13.9775,18.4783,18.4783,16.6311,15.8371,15.0943,15.2201,26.3393,12.8010,12.3698,20.7038,12.8370,12.7086,22.2340,13.2860,13.1846,13.2221,13.3333
CALSEK01_EVE014,17.7866,19.5266,17.0051,17.0051,20.7452,20.7452,27.0745,27.0042,18.7023,8.4892,96.4567,,99.5050,99.2126,97.8208,92.9190,92.0410,92.2774,92.3562,91.0412,91.0412,91.0412,91.0412,91.0412,90.9605,90.8797,90.8797,90.9605,90.7990,19.7034,19.7034,23.8817,24.5192,24.5192,18.9796,14.0167,16.5939,21.1406,21.1406,26.2238,20.3966,20.2077,21.2750,21.2750,21.2750,21.2750,22.2689,21.2009,21.2750,21.3491,16.4179,16.4179,20.7358,20.4013,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.2752,14.2036,18.4539,18.6275,17.4429,19.7812,19.0294,22.0833,20.9575,12.6030,12.5206,32.3171,10.3038,10.3038,12.7318,13.1051,17.9025,17.9025,19.0068,19.0068,19.1781,19.0068,19.0068,19.0068,17.6240,17.6240,17.6240,17.6240,17.6240,17.6240,21.3333,19.8413,21.1872,21.4612,14.2322,14.0449,18.1818,18.1818,16.1702,15.4628,14.8055,14.9310,28.7611,12.1673,11.9792,20.7215,13.0602,12.9321,22.6596,13.6601,13.5558,13.7004,13.9241
CALSEK01_EVE017,17.7866,19.5266,17.0051,17.0051,19.8936,19.8936,27.1261,27.0528,18.7023,8.4892,98.3498,99.5050,,99.5054,97.5465,92.4217,91.2541,91.9967,91.9142,90.3553,90.3553,90.3553,90.3553,90.3553,90.2707,90.1861,90.1861,90.2707,90.1015,19.7034,19.7034,23.0422,24.5192,24.5192,18.9796,13.8075,16.4847,21.3373,21.3373,26.2238,20.3022,20.1133,22.2136,22.2136,22.2136,22.2136,25.5370,22.1362,22.2136,22.2910,16.4179,16.4179,26.0331,25.6198,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.2752,14.9871,18.0786,18.2676,17.5342,19.9635,18.9017,21.2914,20.8672,13.2239,13.1374,32.3171,10.4359,10.4359,12.6082,13.2231,18.0085,18.0085,19.0068,19.0068,19.1781,19.0068,19.0068,19.0068,17.7546,17.7546,17.7546,17.7546,17.7546,17.7546,21.3333,19.5767,21.1872,21.4612,14.2322,14.0449,18.1818,18.1818,16.2766,15.4628,14.5546,14.6801,28.7611,12.5475,12.1094,20.8054,12.9321,12.8041,22.6596,14.4124,14.3016,13.7004,13.9241
CALSEK01_EVE016,17.7632,19.4978,16.9620,16.9620,20.7243,20.7243,27.0042,26.9339,18.6312,8.4770,96.9315,99.2126,99.5054,,97.3387,92.6042,91.2598,92.1260,92.2047,90.4032,90.4032,90.4032,90.4032,90.4032,90.3226,90.2419,90.2419,90.3226,90.1613,19.6617,19.6617,23.6482,24.4019,24.4019,19.1837,13.8075,16.4847,21.3373,21.3373,26.1324,20.3022,20.1133,21.2009,21.2009,21.2009,21.2009,22.2689,21.1268,21.2009,21.2750,16.2313,16.2313,21.0702,20.7358,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.2752,14.2740,18.3555,18.5306,17.4270,19.7632,18.7500,21.8984,20.7581,12.5926,12.5103,32.1212,10.4359,10.4359,12.5926,13.2075,18.1144,18.1144,18.9906,18.9906,19.1617,18.9906,18.9906,18.9906,17.7314,17.7314,17.7314,17.7314,17.7314,17.7314,21.5078,19.7889,21.1679,21.4416,14.2189,14.0318,18.1425,18.1425,16.2593,15.4453,14.5363,14.6617,28.7611,12.8010,12.3698,20.9732,13.0435,12.9156,22.5532,13.7643,13.6601,13.6829,13.9021
CALSEK01_EVE018,17.8336,19.2878,17.3469,17.3469,20.6862,20.6862,26.5086,26.3649,18.8462,8.5137,95.9514,97.8208,97.5465,97.3387,,91.3779,90.8428,91.3290,91.2480,93.0308,93.0308,93.0308,93.0308,93.0308,92.9498,92.8687,92.8687,92.9498,92.7877,19.3617,19.3617,23.1905,22.8155,22.8155,18.3673,13.8075,16.5939,21.1406,21.1406,25.5245,20.4082,20.2138,20.7733,20.7733,20.7733,20.7733,22.0588,20.6975,20.7733,20.8491,16.2313,16.2313,20.4013,20.0669,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,13.8158,18.8177,18.9853,17.4976,20.0000,19.2061,22.0367,20.9050,12.6238,12.5413,30.2469,10.5680,10.5680,12.9790,13.2544,18.1144,18.1144,19.1901,19.1901,19.2782,19.1021,19.1021,19.1021,17.2775,17.2775,17.2775,17.2775,17.2775,17.2775,21.5311,19.6532,21.0430,21.3175,14.0713,13.8837,17.8261,17.8261,16.2047,15.3846,15.0943,15.2201,28.5714,12.4208,12.2396,21.0843,12.5802,12.4519,22.3404,13.5558,13.4515,13.9923,14.2857
CALSEK01_EVE011,17.7398,19.4690,16.9192,16.9192,21.6418,21.6418,26.6124,26.5849,18.5606,8.0344,85.6522,92.9190,92.4217,92.6042,91.3779,,97.4066,97.7879,97.8642,96.9931,96.9931,96.9931,96.9931,96.9931,96.9072,96.8213,96.8213,96.9072,96.7354,19.4093,19.4093,20.4416,23.8095,23.8095,18.9796,16.3415,17.8066,20.3219,20.3219,26.8293,19.7208,19.5462,19.8113,19.8113,19.7439,19.7439,19.4656,19.6765,19.7439,19.8113,16.4179,16.4179,16.7147,16.7147,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.2752,14.5378,17.0455,18.5893,17.5637,19.9811,18.8535,23.4568,22.3823,12.3980,12.3165,31.9277,11.0305,11.0305,13.3423,13.4518,19.4064,19.4064,20.0181,20.0181,20.1993,20.0181,20.0181,20.0181,19.1429,19.1429,19.1429,19.1429,19.1429,19.1429,21.4602,20.0000,22.3518,22.6433,14.8703,14.6707,18.1034,18.1034,16.2420,15.4279,15.5951,15.7319,28.6344,13.4535,13.0000,21.1438,14.2657,14.1259,24.1695,12.9460,12.8440,14.6853,13.8801
CALSEK01_EVE012,17.8336,19.4362,17.0918,17.0918,21.6274,21.6274,26.1371,26.1077,18.8462,8.0808,85.7143,92.0410,91.2541,91.2598,90.8428,97.4066,,98.6953,98.7721,96.9749,96.9749,96.9749,96.9749,96.9749,96.8885,96.8021,96.8021,96.8885,96.7156,19.3617,19.3617,20.8096,25.2427,25.2427,19.3878,16.3415,17.9245,19.8189,19.8189,25.5245,19.2845,19.1099,19.4070,19.4070,19.4070,19.4070,19.0840,19.3396,19.4070,19.4744,16.2313,16.2313,16.1383,16.1383,28.1818,28.1818,28.1818,28.1818,28.1818,28.1818,28.1818,30.2752,14.0809,17.2922,18.8651,17.5355,19.9622,18.5659,23.0088,22.0829,12.1113,12.0295,30.2469,10.7402,10.7402,13.7652,13.6480,18.9498,18.9498,20.3636,20.3636,20.5455,20.3636,20.3636,20.3636,18.9655,18.9655,18.9655,18.9655,18.9655,18.9655,21.6518,20.2128,22.4390,22.7317,14.4289,14.2285,18.9130,18.9130,16.3113,15.4977,16.3686,16.5062,26.3393,12.8988,12.7143,21.1438,14.4866,14.3460,24.1695,12.9592,12.8571,14.3460,13.4921
CALSEK01_EVE013,17.4373,19.1395,17.0918,17.0918,21.5203,21.5203,26.0692,26.0395,19.2308,8.2251,86.4431,92.2774,91.9967,92.1260,91.3290,97.7879,98.6953,,99.9233,97.6664,97.6664,97.6664,97.6664,97.6664,97.5799,97.4935,97.4935,97.5799,97.4071,19.7872,19.7872,20.5566,24.2718,24.2718,18.9796,16.3415,17.6887,20.0201,20.0201,25.8741,19.4590,19.2845,19.4744,19.4744,19.4744,19.4744,19.0840,19.4070,19.4744,19.5418,16.2313,16.2313,16.1383,16.1383,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.2752,14.0809,17.0912,18.6441,17.4408,19.9622,18.3099,23.3628,22.3722,12.1113,12.0295,30.8642,10.8853,10.8853,13.6302,13.5204,19.0639,19.0639,20.3636,20.3636,20.5455,20.3636,20.3636,20.3636,19.2529,19.2529,19.2529,19.2529,19.2529,19.2529,21.8750,20.2128,21.9512,22.2439,14.6293,14.4289,18.2609,18.2609,15.9915,15.1584,16.0935,16.2311,27.2321,13.0374,12.8571,20.9705,14.0647,13.9241,23.8259,12.6531,12.5510,14.4866,13.6508
CALSEK01_EVE015,17.4373,19.1395,17.0918,17.0918,21.5203,21.5203,26.0014,25.9714,19.2308,8.2251,86.3703,92.3562,91.9142,92.2047,91.2480,97.8642,98.7721,99.9233,,97.5799,97.5799,97.5799,97.5799,97.5799,97.4935,97.4071,97.4071,97.4935,97.3207,19.7872,19.7872,20.5566,24.2718,24.2718,18.9796,16.3415,17.6887,20.0201,20.0201,25.8741,19.4590,19.2845,19.4744,19.4744,19.4744,19.4744,19.0840,19.4070,19.4744,19.5418,16.2313,16.2313,16.1383,16.1383,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.2752,14.0809,17.0912,18.6441,17.4408,19.8675,18.3099,23.3628,22.3722,12.1113,12.0295,30.8642,10.8853,10.8853,13.6302,13.5204,19.0639,19.0639,20.3636,20.3636,20.5455,20.3636,20.3636,20.3636,19.2529,19.2529,19.2529,19.2529,19.2529,19.2529,21.8750,20.2128,21.9512,22.2439,14.6293,14.4289,18.2609,18.2609,15.9915,15.1584,16.0935,16.2311,27.2321,13.0374,12.8571,20.9705,14.0647,13.9241,23.8259,12.6531,12.5510,14.4866,13.6508
CALSEK01_EVE019,17.8336,19.2878,17.3469,17.3469,21.6274,21.6274,27.0553,27.0553,18.8462,8.0808,89.1498,91.0412,90.3553,90.4032,93.0308,96.9931,96.9749,97.6664,97.5799,,100.0000,100.0000,100.0000,100.0000,99.9136,99.8271,99.8271,99.9136,99.7407,19.3617,19.3617,21.1965,22.8155,22.8155,18.3673,16.0976,17.9245,19.9195,19.9195,25.5245,20.3110,20.1166,19.9228,19.9228,19.9228,19.9228,19.6903,19.8456,19.9228,20.0000,16.0448,16.0448,16.7273,16.7273,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.4599,19.5940,19.7574,17.7889,20.4614,18.9501,23.4513,22.4687,13.4802,13.3921,30.2469,11.0305,11.0305,13.6302,13.5204,19.2922,19.2922,20.2247,20.2247,20.3184,20.1311,20.1311,20.1311,18.6782,18.6782,18.6782,18.6782,18.6782,18.6782,21.5311,19.6532,22.0488,22.3415,14.7295,14.5291,17.8261,17.8261,16.3113,15.3846,16.3686,16.5062,28.5714,13.4535,13.2857,22.2121,13.9241,13.7834,23.5968,14.1097,13.9978,15.1899,14.4444
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE011,17.8336,19.2878,17.3469,17.3469,21.6274,21.6274,27.0553,27.0553,18.8462,8.0808,89.1498,91.0412,90.3553,90.4032,93.0308,96.9931,96.9749,97.6664,97.5799,100.0000,,100.0000,100.0000,100.0000,99.9136,99.8271,99.8271,99.9136,99.7407,19.3617,19.3617,21.1965,22.8155,22.8155,18.3673,16.0976,17.9245,19.9195,19.9195,25.5245,20.3110,20.1166,19.9228,19.9228,19.9228,19.9228,19.6903,19.8456,19.9228,20.0000,16.0448,16.0448,16.7273,16.7273,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.4599,19.5940,19.7574,17.7889,20.4614,18.9501,23.4513,22.4687,13.4802,13.3921,30.2469,11.0305,11.0305,13.6302,13.5204,19.2922,19.2922,20.2247,20.2247,20.3184,20.1311,20.1311,20.1311,18.6782,18.6782,18.6782,18.6782,18.6782,18.6782,21.5311,19.6532,22.0488,22.3415,14.7295,14.5291,17.8261,17.8261,16.3113,15.3846,16.3686,16.5062,28.5714,13.4535,13.2857,22.2121,13.9241,13.7834,23.5968,14.1097,13.9978,15.1899,14.4444
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE012,17.8336,19.2878,17.3469,17.3469,21.6274,21.6274,27.0553,27.0553,18.8462,8.0808,89.1498,91.0412,90.3553,90.4032,93.0308,96.9931,96.9749,97.6664,97.5799,100.0000,100.0000,,100.0000,100.0000,99.9136,99.8271,99.8271,99.9136,99.7407,19.3617,19.3617,21.1965,22.8155,22.8155,18.3673,16.0976,17.9245,19.9195,19.9195,25.5245,20.3110,20.1166,19.9228,19.9228,19.9228,19.9228,19.6903,19.8456,19.9228,20.0000,16.0448,16.0448,16.7273,16.7273,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.4599,19.5940,19.7574,17.7889,20.4614,18.9501,23.4513,22.4687,13.4802,13.3921,30.2469,11.0305,11.0305,13.6302,13.5204,19.2922,19.2922,20.2247,20.2247,20.3184,20.1311,20.1311,20.1311,18.6782,18.6782,18.6782,18.6782,18.6782,18.6782,21.5311,19.6532,22.0488,22.3415,14.7295,14.5291,17.8261,17.8261,16.3113,15.3846,16.3686,16.5062,28.5714,13.4535,13.2857,22.2121,13.9241,13.7834,23.5968,14.1097,13.9978,15.1899,14.4444
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE017,17.8336,19.2878,17.3469,17.3469,21.6274,21.6274,27.0553,27.0553,18.8462,8.0808,89.1498,91.0412,90.3553,90.4032,93.0308,96.9931,96.9749,97.6664,97.5799,100.0000,100.0000,100.0000,,100.0000,99.9136,99.8271,99.8271,99.9136,99.7407,19.3617,19.3617,21.1965,22.8155,22.8155,18.3673,16.0976,17.9245,19.9195,19.9195,25.5245,20.3110,20.1166,19.9228,19.9228,19.9228,19.9228,19.6903,19.8456,19.9228,20.0000,16.0448,16.0448,16.7273,16.7273,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.4599,19.5940,19.7574,17.7889,20.4614,18.9501,23.4513,22.4687,13.4802,13.3921,30.2469,11.0305,11.0305,13.6302,13.5204,19.2922,19.2922,20.2247,20.2247,20.3184,20.1311,20.1311,20.1311,18.6782,18.6782,18.6782,18.6782,18.6782,18.6782,21.5311,19.6532,22.0488,22.3415,14.7295,14.5291,17.8261,17.8261,16.3113,15.3846,16.3686,16.5062,28.5714,13.4535,13.2857,22.2121,13.9241,13.7834,23.5968,14.1097,13.9978,15.1899,14.4444
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE019,17.8336,19.2878,17.3469,17.3469,21.6274,21.6274,27.0553,27.0553,18.8462,8.0808,89.1498,91.0412,90.3553,90.4032,93.0308,96.9931,96.9749,97.6664,97.5799,100.0000,100.0000,100.0000,100.0000,,99.9136,99.8271,99.8271,99.9136,99.7407,19.3617,19.3617,21.1965,22.8155,22.8155,18.3673,16.0976,17.9245,19.9195,19.9195,25.5245,20.3110,20.1166,19.9228,19.9228,19.9228,19.9228,19.6903,19.8456,19.9228,20.0000,16.0448,16.0448,16.7273,16.7273,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.4599,19.5940,19.7574,17.7889,20.4614,18.9501,23.4513,22.4687,13.4802,13.3921,30.2469,11.0305,11.0305,13.6302,13.5204,19.2922,19.2922,20.2247,20.2247,20.3184,20.1311,20.1311,20.1311,18.6782,18.6782,18.6782,18.6782,18.6782,18.6782,21.5311,19.6532,22.0488,22.3415,14.7295,14.5291,17.8261,17.8261,16.3113,15.3846,16.3686,16.5062,28.5714,13.4535,13.2857,22.2121,13.9241,13.7834,23.5968,14.1097,13.9978,15.1899,14.4444
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE015,17.7015,19.1395,17.3469,17.3469,21.6274,21.6274,26.9806,26.9806,18.8462,8.0808,89.0688,90.9605,90.2707,90.3226,92.9498,96.9072,96.8885,97.5799,97.4935,99.9136,99.9136,99.9136,99.9136,99.9136,,99.9136,99.9136,99.8271,99.6543,19.3617,19.3617,21.1965,22.3301,22.3301,18.3673,16.0976,17.9245,19.8189,19.8189,25.1748,20.2138,20.0194,19.8456,19.8456,19.8456,19.8456,19.6903,19.7683,19.8456,19.9228,16.0448,16.0448,16.7273,16.7273,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.4599,19.5940,19.7574,17.7889,20.4614,18.9501,23.4513,22.4687,13.4802,13.3921,30.2469,11.0305,11.0305,13.6302,13.5204,19.2922,19.2922,20.3184,20.3184,20.4120,20.2247,20.2247,20.2247,18.6782,18.6782,18.6782,18.6782,18.6782,18.6782,21.5311,19.6532,22.0488,22.3415,14.7295,14.5291,17.8261,17.8261,16.4179,15.4977,16.3686,16.5062,28.5714,13.4535,13.2857,22.2121,13.9241,13.7834,23.5968,14.1097,13.9978,15.1899,14.4444
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE013,17.8336,19.2878,17.3469,17.3469,21.6274,21.6274,26.9806,26.9806,18.8462,8.0808,88.9879,90.8797,90.1861,90.2419,92.8687,96.8213,96.8021,97.4935,97.4071,99.8271,99.8271,99.8271,99.8271,99.8271,99.9136,,99.8271,99.7407,99.7407,19.3617,19.3617,21.1965,22.3301,22.3301,18.3673,16.0976,17.9245,19.8189,19.8189,25.1748,20.2138,20.0194,19.8456,19.8456,19.8456,19.8456,19.6903,19.7683,19.8456,19.9228,16.0448,16.0448,16.7273,16.7273,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.4599,19.6823,19.8440,17.7889,20.4614,18.9501,23.5398,22.5651,13.4802,13.3921,30.2469,11.0305,11.0305,13.6302,13.5204,19.2922,19.2922,20.3184,20.3184,20.4120,20.2247,20.2247,20.2247,18.6782,18.6782,18.6782,18.6782,18.6782,18.6782,21.2919,19.3642,22.0488,22.3415,14.7295,14.5291,17.8261,17.8261,16.4179,15.4977,16.3686,16.5062,28.5714,13.4535,13.2857,22.2121,13.9241,13.7834,23.5968,14.1097,13.9978,15.1899,14.4444
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE016,17.7015,19.1395,17.3469,17.3469,21.6274,21.6274,26.9058,26.9058,18.8462,8.0808,88.9879,90.8797,90.1861,90.2419,92.8687,96.8213,96.8021,97.4935,97.4071,99.8271,99.8271,99.8271,99.8271,99.8271,99.9136,99.8271,,99.7407,99.5678,19.3617,19.3617,21.1965,22.3301,22.3301,18.3673,16.3415,18.0425,19.8189,19.8189,25.1748,20.2138,20.0194,19.9228,19.9228,19.9228,19.9228,19.9115,19.8456,19.9228,20.0000,16.0448,16.0448,16.7273,16.7273,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.3728,19.5940,19.7574,17.7889,20.4614,19.0781,23.3628,22.3722,13.4802,13.3921,30.2469,10.8853,10.8853,13.4953,13.3929,19.1781,19.1781,20.2247,20.2247,20.3184,20.1311,20.1311,20.1311,18.5345,18.5345,18.5345,18.5345,18.5345,18.5345,21.5311,19.6532,22.1463,22.4390,14.6293,14.4289,17.8261,17.8261,16.5245,15.4977,16.5062,16.6437,28.5714,13.5922,13.4286,22.2121,13.7834,13.6428,23.4822,14.2217,14.1097,15.3305,14.4444
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE018,17.8336,19.2878,17.3469,17.3469,21.6274,21.6274,27.1300,27.1300,18.8462,8.0808,89.0688,90.9605,90.2707,90.3226,92.9498,96.9072,96.8885,97.5799,97.4935,99.9136,99.9136,99.9136,99.9136,99.9136,99.8271,99.7407,99.7407,,99.8271,19.3617,19.3617,21.2703,22.8155,22.8155,18.3673,15.8537,17.8066,19.9195,19.9195,25.5245,20.3110,20.1166,19.8456,19.8456,19.8456,19.8456,19.4690,19.7683,19.8456,19.9228,16.0448,16.0448,17.0909,17.0909,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.4599,19.6823,19.8440,17.7889,20.4614,18.9501,23.3628,22.3722,13.4802,13.3921,30.2469,11.1756,11.1756,13.7652,13.6480,19.4064,19.4064,20.2247,20.2247,20.3184,20.1311,20.1311,20.1311,18.8218,18.8218,18.8218,18.8218,18.8218,18.8218,21.5311,19.6532,22.1463,22.4390,14.8297,14.6293,17.8261,17.8261,16.3113,15.3846,16.3686,16.5062,28.5714,13.5922,13.4286,22.1207,13.9241,13.7834,23.7113,14.1097,13.9978,15.1899,14.4444
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE014,17.9657,19.4362,17.3469,17.3469,21.5203,21.5203,27.2048,27.2048,18.8462,8.0808,88.9069,90.7990,90.1015,90.1613,92.7877,96.7354,96.7156,97.4071,97.3207,99.7407,99.7407,99.7407,99.7407,99.7407,99.6543,99.7407,99.5678,99.8271,,19.3617,19.3617,21.3442,22.8155,22.8155,18.3673,15.8537,17.8066,20.0201,20.0201,25.5245,20.3110,20.1166,19.9228,19.9228,19.9228,19.9228,19.6903,19.8456,19.9228,20.0000,16.0448,16.0448,17.0909,17.0909,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,30.9091,31.1927,14.4599,19.8588,20.0173,17.7889,20.4614,18.9501,23.4513,22.4687,13.4802,13.3921,30.2469,11.1756,11.1756,13.7652,13.6480,19.4064,19.4064,20.2247,20.2247,20.3184,20.1311,20.1311,20.1311,18.8218,18.8218,18.8218,18.8218,18.8218,18.8218,21.2919,19.3642,22.1463,22.4390,14.8297,14.6293,17.8261,17.8261,16.3113,15.3846,16.3686,16.5062,28.5714,13.5922,13.4286,22.1207,13.9241,13.7834,23.7113,14.1097,13.9978,15.1899,14.4444
