eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALSED01_EVE011	high	100	viral (19)	VDB (11), UDB Viruses (8)	CALSED010000006.1_342875-343708:-	4.64e-23	30	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
CALSED01_EVE012	high	100	viral (19)	VDB (11), UDB Viruses (8)	CALSED010000006.1_343637-344470:-	1.15e-22	30	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
CALSED01_EVE013	high	100	viral (17)	VDB (10), UDB Viruses (7)	CALSED010000006.1_344399-345230:-	5.97e-18	29.1	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
CALSED01_EVE014	high	100	viral (16)	VDB (10), UDB Viruses (6)	CALSED010000006.1_345159-345992:-	2.22e-19	29.4	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
CALSED01_EVE015	high	100	viral (17)	VDB (10), UDB Viruses (7)	CALSED010000006.1_354296-354982:-	1.68e-19	28	glycoprotein [Rhabdoviridae sp.] acc=UCR92568.1 	glycoprotein [Rhabdoviridae sp.] acc=UCR92568.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Rhabdoviridae sp.	Negarnaviricota
CALSED01_EVE016	high	100	viral (11)	VDB (7), UDB Viruses (4)	CALSED010000006.1_4520432-4521066:+	2.58e-14	24.5	nucleoprotein [Rhabdoviridae sp.] acc=UCR92567.1 	nucleoprotein [Rhabdoviridae sp.] acc=UCR92567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Rhabdoviridae sp.	Negarnaviricota
CALSED01_EVE017	high	100	viral (9)	VDB (8), UDB Viruses (1)	CALSED010000019.1_117107-117279:-	1.05e-13	65.5	capsid [Guadeloupe mosquito phasivirus] acc=QEM39251.1 	capsid [Guadeloupe mosquito phasivirus] acc=QEM39251.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Phasivirus;s__Phasivirus guadeloupeense	Negarnaviricota
CALSED01_EVE018	high	100	viral (23)	VDB (18), UDB Viruses (5)	CALSED010000041.1_330302-331520:-	3.4099999999999994e-148	56.7	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
CALSED01_EVE019	high	100	viral (2)	UDB Viruses (1), VDB (1)	CALSED010000043.1_794053-794618:+	4.67e-18	36	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
CALSED01_EVE020	high	100	viral (5)	VDB (5)	CALSED010000044.1_1572933-1573090:-	2.65e-13	66	putative glycoprotein [Bolahun virus variant 1] acc=AOR51367.1 	putative glycoprotein [Bolahun virus variant 1] acc=AOR51367.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Bolahun virus variant 1	Negarnaviricota
CALSED01_EVE021	high	100	viral (20)	VDB (13), UDB Viruses (7)	CALSED010000046.1_1617367-1617720:-	4.76e-31	48	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
CALSED01_EVE022	high	100	viral (20)	VDB (15), UDB Viruses (5)	CALSED010000564.1_1738496-1743535:-	0	48.9	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
CALSED01_EVE023	high	100	viral (21)	VDB (16), UDB Viruses (5)	CALSED010000564.1_1851314-1856180:+	0	48.2	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
CALSED01_EVE024	high	100	viral (21)	VDB (16), UDB Viruses (5)	CALSED010000564.1_196330-201196:-	0	48.2	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
CALSED01_EVE025	high	100	viral (20)	VDB (15), UDB Viruses (5)	CALSED010000564.1_308975-314014:+	0	48.9	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
CALSED01_EVE026	high	96	viral (19), maybe-viral (1)	VDB (13), UDB Viruses (5), glycoprotein protein (1), viral (1)	CALSED010000025.1_1091199-1091330:+	2.97e-17	75	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
CALSED01_EVE027	high	95	viral (19), maybe-viral (1)	VDB (13), UDB Viruses (5), glycoprotein protein (1), viral (1)	CALSED010000019.1_117539-117923:-	4.5399999999999994e-35	49.2	glycoprotein [Anphevirus sp.] acc=QTW97828.1 	glycoprotein [Anphevirus sp.] acc=QTW97828.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
CALSED01_EVE028	high	94	viral (22), non-viral (1)	VDB (14), UDB Viruses (8), annotated protein of Eukaryota (1)	CALSED010000080.1_314720-315841:-	4.48e-61	41	Nucleoprotein n=1 Tax=Anopheles sinensis  RepID=A0A084VDF2_ANOSI	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
CALSED01_EVE029	high	93	viral (19), non-viral (1)	VDB (13), UDB Viruses (6), annotated protein of Eukaryota (1)	CALSED010000080.1_317812-318990:+	4.7100000000000003e-63	32.7	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
CALSED01_EVE030	high	92	viral (18), maybe-viral (2)	VDB (10), UDB Viruses (6), capsid (2), uncharacterized protein (2)	CALSED010000564.1_122247-122519:+	6.46e-30	59.3	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
CALSED01_EVE031	high	92	viral (18), maybe-viral (2)	VDB (10), UDB Viruses (6), capsid (2), uncharacterized protein (2)	CALSED010000564.1_1929991-1930263:-	6.46e-30	59.3	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
CALSED01_EVE032	high	91	viral (9), maybe-viral (1)	VDB (6), UDB Viruses (2), glycoprotein protein (1), virus (1)	CALSED010000025.1_1134498-1134950:+	8.67e-20	37.4	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
CALSED01_EVE033	high	90	viral (13), maybe-viral (2)	VDB (9), UDB Viruses (4), uncharacterized protein (2)	CALSED010000025.1_1116330-1117029:+	4.0499999999999996e-30	37.9	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
CALSED01_EVE034	high	88	viral (17), maybe-viral (3)	VDB (11), UDB Viruses (6), glycoprotein protein (2), uncharacterized protein (1)	CALSED010000025.1_1089505-1090357:+	7.53e-149	73.4	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
CALSED01_EVE035	high	87	viral (17), maybe-viral (2), non-viral (1)	VDB (9), UDB Viruses (6), uncharacterized protein (2), annotated protein of Eukaryota (1), capsid (1), coat (1)	CALSED010000564.1_124245-124421:+	1.61e-23	71.2	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
CALSED01_EVE036	high	87	viral (17), maybe-viral (2), non-viral (1)	VDB (9), UDB Viruses (6), uncharacterized protein (2), annotated protein of Eukaryota (1), capsid (1), coat (1)	CALSED010000564.1_1928089-1928265:-	1.61e-23	71.2	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
CALSED01_EVE037	high	81	viral (5), maybe-viral (1)	VDB (3), UDB Viruses (2), uncharacterized protein (1)	CALSED010000019.1_100812-101093:-	2.67e-18	61.3	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
CALSED01_EVE038	high	71	viral (14), maybe-viral (6)	VDB (8), UDB Viruses (4), uncharacterized protein (4), glycoprotein protein (2), viral (2)	CALSED010000081.1_2442696-2443237:-	5.88e-60	49.5	uncharacterized protein LOC131264530 n=1 Tax=Anopheles coustani  RepID=UPI002659AFA4	glycoprotein [Anphevirus sp.] acc=QTW97828.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
CALSED01_EVE039	high	67	viral (5), maybe-viral (4)	uncharacterized protein (4), VDB (3), UDB Viruses (2)	CALSED010000023.1_208125-208574:-	2.2e-23	41.4	uncharacterized protein LOC128274645 n=1 Tax=Anopheles cruzii  RepID=UPI0022EC1E8A	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
CALSED01_EVE040	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000037.1_17644-17754:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE041	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000037.1_35250-35360:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE042	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000099.1_11078-11188:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE043	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000122.1_10442-10552:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE044	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000122.1_21605-21715:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE045	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000122.1_31627-31737:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE046	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000122.1_42749-42859:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE047	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000129.1_102646-102756:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE048	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000129.1_116040-116150:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE049	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000129.1_25280-25390:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE050	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000129.1_5153-5263:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE051	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000129.1_51758-51868:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE052	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000129.1_65720-65830:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE053	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000129.1_90765-90875:+	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSED01_EVE054	high	59	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSED010000130.1_21115-21225:-	1.65e-9	78.9	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
