eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCA_964033645.1_idAnoFune21.1_genomic_EVE011	high	100	viral (2)	UDB Viruses (1), VDB (1)	OZ035535.1_53744537-53744809:+	6.21e-16	39.6	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE012	high	100	viral (2)	VDB (2)	OZ035535.1_54541150-54541437:-	6e-10	34.4	hypothetical protein [Lestijarvi alphachrysovirus] acc=UUV42201.1 	hypothetical protein [Lestijarvi alphachrysovirus] acc=UUV42201.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Chrysoviridae;g__Alphachrysovirus;s__Lestijarvi alphachrysovirus	Duplornaviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE013	high	100	viral (16)	VDB (10), UDB Viruses (6)	OZ035536.1_17802414-17803640:+	5.8e-198	66.6	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Ferres luteo sobemo-like virus	unclassified Viruses phylum
GCA_964033645.1_idAnoFune21.1_genomic_EVE014	high	100	viral (11)	VDB (6), UDB Viruses (5)	OZ035536.1_17919254-17920469:-	4.47e-189	65.1	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Ferres luteo sobemo-like virus	unclassified Viruses phylum
GCA_964033645.1_idAnoFune21.1_genomic_EVE015	high	100	viral (16)	VDB (9), UDB Viruses (7)	OZ035536.1_18292751-18293951:+	3.4100000000000003e-192	66.6	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Ferres luteo sobemo-like virus	unclassified Viruses phylum
GCA_964033645.1_idAnoFune21.1_genomic_EVE016	high	100	viral (20)	VDB (16), UDB Viruses (4)	OZ035536.1_18294179-18294515:+	3.4599999999999995e-35	53.5	hypothetical protein [Leuven Sobemo-like virus 3] acc=QZZ63363.1 	hypothetical protein [Leuven Sobemo-like virus 3] acc=QZZ63363.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Leuven Sobemo-like virus 3	unclassified Viruses phylum
GCA_964033645.1_idAnoFune21.1_genomic_EVE017	high	88	viral (17), maybe-viral (3)	VDB (12), UDB Viruses (5), glycoprotein protein (2), uncharacterized protein (1)	OZ035534.1_55957273-55958363:-	4.399999999999999e-176	69.9	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE018	high	88	viral (17), maybe-viral (3)	VDB (12), UDB Viruses (5), glycoprotein protein (2), uncharacterized protein (1)	OZ035534.1_55963036-55964126:-	1.5499999999999996e-176	70.2	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE019	high	88	viral (18), maybe-viral (3)	VDB (12), UDB Viruses (5), glycoprotein protein (2), uncharacterized protein (1), viral (1)	OZ035534.1_55968799-55969905:-	8.63e-188	71	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE020	high	88	viral (17), maybe-viral (3)	VDB (10), UDB Viruses (7), uncharacterized protein (3)	OZ035535.1_40337236-40337942:+	6.25e-60	46.4	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE021	high	87	viral (18), maybe-viral (3)	VDB (10), UDB Viruses (8), uncharacterized protein (2), hypothetical protein (1)	OZ035535.1_40349303-40350516:+	2.92e-94	41.5	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE022	high	87	viral (18), maybe-viral (3)	VDB (10), UDB Viruses (8), uncharacterized protein (2), hypothetical protein (1)	OZ035535.1_47889465-47890495:+	2.66e-80	41.7	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE023	high	87	viral (17), maybe-viral (3)	VDB (10), UDB Viruses (7), uncharacterized protein (2), hypothetical protein (1)	OZ035536.1_21870340-21871155:-	2e-51	38.8	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE024	high	86	viral (17), maybe-viral (3)	VDB (10), UDB Viruses (7), uncharacterized protein (2), hypothetical protein (1)	CAXITP010000241.1_6905-7303:+	2.34e-19	34	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE025	high	86	viral (17), maybe-viral (3)	VDB (10), UDB Viruses (7), uncharacterized protein (2), hypothetical protein (1)	OZ035536.1_21687431-21687829:+	2.34e-19	34	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE026	high	85	viral (17), non-viral (2), maybe-viral (1)	VDB (12), UDB Viruses (5), annotated protein of Eukaryota (2), uncharacterized protein (1)	OZ035535.1_13256981-13258159:-	2.05e-65	34.7	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE027	high	84	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40355925-40357034:+	1.45e-71	39.7	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE028	high	84	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40367186-40368295:+	1.45e-71	39.7	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE029	high	84	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40378447-40379556:+	1.45e-71	39.7	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE030	high	84	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40387410-40388444:+	2.24e-69	40.5	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE031	high	84	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40388691-40389865:+	1.7999999999999998e-72	39.3	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE032	high	84	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40395854-40397028:+	1.05e-74	39.6	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE033	high	84	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40403016-40404190:+	5.31e-75	39.6	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE034	high	83	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40347365-40348567:+	8.72e-80	40.1	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE035	high	83	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40361029-40361760:+	6.2799999999999985e-55	43.4	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE036	high	83	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40372290-40373021:+	6.2799999999999985e-55	43.4	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE037	high	83	viral (16), maybe-viral (4)	VDB (9), UDB Viruses (7), uncharacterized protein (3), hypothetical protein (1)	OZ035535.1_40382245-40382976:+	6.2799999999999985e-55	43.4	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE038	high	82	viral (4), maybe-viral (1)	VDB (3), glycoprotein protein (1), UDB Viruses (1)	OZ035535.1_34316280-34316696:-	8.07e-11	30.4	Putative glycoprotein (Fragment) n=8 Tax=root  RepID=A0A2M3ZZJ6_9DIPT	glycoprotein precursor [Anopheles triannulatus orthophasmavirus] acc=YP_010086190.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE039	high	80	viral (15), maybe-viral (5)	VDB (9), UDB Viruses (6), uncharacterized protein (4), hypothetical protein (1)	OZ035534.1_44450071-44450868:+	1.76e-34	33.1	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE040	high	75	viral (14), maybe-viral (6)	VDB (8), UDB Viruses (6), uncharacterized protein (5), hypothetical protein (1)	OZ035535.1_40357502-40357996:+	1.0600000000000001e-33	39.8	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE041	high	75	viral (14), maybe-viral (6)	VDB (8), UDB Viruses (6), uncharacterized protein (5), hypothetical protein (1)	OZ035535.1_40368763-40369257:+	1.0600000000000001e-33	39.8	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE042	high	75	viral (14), maybe-viral (6)	VDB (8), UDB Viruses (6), uncharacterized protein (5), hypothetical protein (1)	OZ035535.1_40380024-40380518:+	1.0600000000000001e-33	39.8	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE043	high	70	viral (6), maybe-viral (2)	UDB Viruses (3), VDB (3), uncharacterized protein (2)	OZ035535.1_47890964-47891446:+	2.59e-76	75.2	Uncharacterized protein n=1 Tax=Anopheles maculatus  RepID=A0A182SI05_9DIPT	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
GCA_964033645.1_idAnoFune21.1_genomic_EVE044	high	64	maybe-viral (7), viral (5)	uncharacterized protein (7), VDB (3), UDB Viruses (2)	OZ035535.1_40346067-40347215:+	1.1899999999999998e-104	44.3	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
GCA_964033645.1_idAnoFune21.1_genomic_EVE045	high	64	maybe-viral (7), viral (5)	uncharacterized protein (7), VDB (3), UDB Viruses (2)	OZ035535.1_40354627-40355775:+	1.1899999999999998e-104	44.3	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
GCA_964033645.1_idAnoFune21.1_genomic_EVE046	high	62	maybe-viral (8), viral (5)	uncharacterized protein (8), VDB (3), UDB Viruses (2)	OZ035535.1_40365901-40367036:+	4.66e-100	42.9	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
GCA_964033645.1_idAnoFune21.1_genomic_EVE047	high	62	maybe-viral (8), viral (5)	uncharacterized protein (8), VDB (3), UDB Viruses (2)	OZ035535.1_40377162-40378297:+	4.66e-100	42.9	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
GCA_964033645.1_idAnoFune21.1_genomic_EVE048	high	62	maybe-viral (8), viral (5)	uncharacterized protein (8), VDB (3), UDB Viruses (2)	OZ035535.1_40386125-40387260:+	4.66e-100	42.9	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
GCA_964033645.1_idAnoFune21.1_genomic_EVE049	high	61	maybe-viral (8), viral (5)	uncharacterized protein (8), VDB (3), UDB Viruses (2)	OZ035535.1_40345075-40346004:+	2.41e-100	49	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
GCA_964033645.1_idAnoFune21.1_genomic_EVE050	high	61	maybe-viral (8), viral (5)	uncharacterized protein (8), VDB (3), UDB Viruses (2)	OZ035535.1_40353635-40354564:+	2.41e-100	49	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
