eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ATLV01_EVE014	high	92	viral (9), maybe-viral (1)	VDB (7), UDB Viruses (2), uncharacterized protein (1)	ATLV01022981.1_1024-1149:-	1.21e-10	58.5	nucleocapsid protein [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82385.1 	nucleocapsid protein [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82385.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
ATLV01_EVE015	high	92	viral (9), maybe-viral (1)	VDB (7), UDB Viruses (2), uncharacterized protein (1)	ATLV01022983.1_327-437:-	3.36e-10	62.2	nucleocapsid protein [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82385.1 	nucleocapsid protein [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82385.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
ATLV01_EVE016	high	90	viral (18), non-viral (2)	VDB (11), UDB Viruses (7), annotated protein of Eukaryota (2)	ATLV01001448.1_8-454:-	6.97e-21	32.2	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
ATLV01_EVE017	high	89	viral (20), maybe-viral (3)	VDB (12), UDB Viruses (8), uncharacterized protein (2), glycoprotein protein (1)	ATLV01021280.1_436-599:-	1.68e-19	65.5	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
ATLV01_EVE018	high	86	viral (6), maybe-viral (2)	VDB (4), UDB Viruses (2), hypothetical protein (1), uncharacterized protein (1)	ATLV01011459.1_501-1246:-	5.6e-146	81.9	capsid [Dragana partiti-like virus] acc=QRD99908.1 	capsid [Dragana partiti-like virus] acc=QRD99908.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Dragana partiti-like virus	Pisuviricota
ATLV01_EVE019	high	86	viral (19), non-viral (2)	VDB (18), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	ATLV01022087.1_6916-7958:+	1.15e-209	100	RNA-dependent RNA polymerase-like protein n=1 Tax=Anopheles sinensis  RepID=A0A084WAC7_ANOSI	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Riboviria sp.	unclassified Viruses phylum
ATLV01_EVE020	high	83	viral (18), non-viral (2)	VDB (13), UDB Viruses (5), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1)	ATLV01011319.1_3585-4751:+	1.45e-135	71.2	Nucleoprotein n=1 Tax=Anopheles sinensis  RepID=A0A084VDF2_ANOSI	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
ATLV01_EVE021	high	81	viral (4), non-viral (2)	annotated protein of Eukaryota (2), UDB Viruses (2), VDB (2)	ATLV01004400.1_899-1286:-	4.4599999999999994e-57	74.4	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
ATLV01_EVE022	high	80	viral (17), non-viral (3)	VDB (12), UDB Viruses (5), annotated protein of unclassified root superkingdom (2), annotated protein of Eukaryota (1)	ATLV01022089.1_577-1430:+	2.8899999999999995e-145	70.6	RNA-dependent RNA polymerase-like protein n=1 Tax=Anopheles sinensis  RepID=A0A084WAC7_ANOSI	RNA-dependent RNA polymerase [Varnsen partiti-like virus] acc=QIJ70087.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Varnsen partiti-like virus	unclassified Viruses phylum
ATLV01_EVE023	high	65	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	ATLV01027398.1_497-601:-	6.4e-11	71.4	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
ATLV01_EVE024	high	64	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	ATLV01003871.1_530-634:+	6.4e-11	71.4	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
ATLV01_EVE025	high	64	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	ATLV01027233.1_338-442:-	6.4e-11	71.4	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
ATLV01_EVE026	high	64	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	ATLV01027247.1_552-656:+	6.4e-11	71.4	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
ATLV01_EVE027	high	60	maybe-viral (2), viral (2)	glycoprotein protein (1), UDB Viruses (1), uncharacterized protein (1), VDB (1)	ATLV01019208.1_3260-3557:+	3.19e-7	39.3	Glycoprotein (Fragment) n=6 Tax=Culicidae  RepID=A0A2M4ARI2_9DIPT	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda
ATLV01_EVE028	high	56	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	ATLV01006342.1_389-1376:+	5.84e-8	29.5	Uncharacterized protein n=2 Tax=Aedes aegypti  RepID=A0A6I8TPT5_AEDAE	hypothetical protein [Osugoroshi virus] acc=BCP45655.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Osugoroshi virus	Arthropoda
ATLV01_EVE029	high	55	maybe-viral (11), viral (7), non-viral (2)	uncharacterized protein (11), VDB (4), UDB Viruses (3), annotated protein of Eukaryota (2)	ATLV01001443.1_389-1354:-	6.569999999999999e-40	32.7	uncharacterized protein LOC128274645 n=1 Tax=Anopheles cruzii  RepID=UPI0022EC1E8A	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
ATLV01_EVE030	high	53	viral (10), maybe-viral (7), non-viral (3)	VDB (6), UDB Viruses (4), annotated protein of Eukaryota (3), glycoprotein protein (3), polyprotein protein (2), uncharacterized protein (2)	ATLV01027390.1_635-1285:+	4.3499999999999994e-89	61.4	DUF5641 domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RZY2_ANOFN	glycoprotein [Kaiowa virus] acc=ASV45863.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kaiowa virus	Arthropoda
ATLV01_EVE031	high	51	maybe-viral (11), viral (9)	uncharacterized protein (6), VDB (6), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	ATLV01011718.1_3-521:-	1.7e-92	75.7	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
ATLV01_EVE032	high	50	maybe-viral (11), viral (9)	uncharacterized protein (6), VDB (6), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	ATLV01027390.1_4-622:+	1.3799999999999999e-98	68.3	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
ATLV01_EVE033	high	48	maybe-viral (9), viral (8), non-viral (3)	VDB (5), uncharacterized protein (4), annotated protein of Eukaryota (3), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	ATLV01020853.1_3533-3895:-	1.18e-41	61.5	Putative polyprotein n=1 Tax=Anopheles darlingi  RepID=A0A2M4CVY8_ANODA	glycoprotein [Cumbaru virus] acc=ASV45869.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Cumbaru virus	Arthropoda
ATLV01_EVE034	high	47	viral (5), non-viral (4), maybe-viral (2)	VDB (4), annotated protein of Eukaryota (3), uncharacterized protein (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	ATLV01001589.1_328-446:+	4.62e-7	73.2	uncharacterized protein LOC129763032 n=1 Tax=Toxorhynchites rutilus septentrionalis  RepID=UPI00247A7460	RNA-dependent RNA polymerase [Infectious flacherie virus] acc=ADN23765.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Picornavirales;f__Iflaviridae;g__Iflavirus;s__Iflavirus flacherie	Arthropoda
ATLV01_EVE035	high	47	viral (5), non-viral (4), maybe-viral (2)	VDB (4), annotated protein of Eukaryota (3), uncharacterized protein (2), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	ATLV01002631.1_1187-1305:+	4.62e-7	73.2	uncharacterized protein LOC129763032 n=1 Tax=Toxorhynchites rutilus septentrionalis  RepID=UPI00247A7460	RNA-dependent RNA polymerase [Infectious flacherie virus] acc=ADN23765.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Picornavirales;f__Iflaviridae;g__Iflavirus;s__Iflavirus flacherie	Arthropoda
ATLV01_EVE036	high	46	maybe-viral (10), viral (8), non-viral (2)	VDB (6), glycoprotein protein (4), uncharacterized protein (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (2)	ATLV01017603.1_852-1364:+	5.3e-95	81.3	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda
ATLV01_EVE037	high	44	maybe-viral (10), viral (8), non-viral (2)	VDB (6), glycoprotein protein (4), uncharacterized protein (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (2)	ATLV01018977.1_5027-6422:+	8.099999999999999e-196	66.3	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Kaiowa virus] acc=ASV45863.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kaiowa virus	Arthropoda
ATLV01_EVE038	high	42	maybe-viral (10), viral (7), non-viral (3)	uncharacterized protein (5), VDB (4), annotated protein of Eukaryota (3), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	ATLV01011717.1_3-334:+	1.66e-22	57	DUF5641 domain-containing protein n=1 Tax=Anopheles dirus  RepID=A0A182NPV4_9DIPT	glycoprotein [Kaiowa virus] acc=ASV45863.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kaiowa virus	Arthropoda
ATLV01_EVE039	high	41	maybe-viral (14), viral (5), non-viral (1)	uncharacterized protein (11), VDB (3), polyprotein protein (2), UDB Viruses (2), annotated protein of Eukaryota (1), glycoprotein protein (1)	ATLV01014701.1_116-1255:+	2.67e-206	73	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
ATLV01_EVE040	high	39	viral (2), non-viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	ATLV01011318.1_6647-7657:+	1.24e-207	100	Nucleoprotein n=1 Tax=Anopheles sinensis  RepID=A0A084VDF2_ANOSI	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
ATLV01_EVE041	high	39	non-viral (10), viral (9), false-viral (1)	annotated protein of Eukaryota (10), viral (9), ubiquitin (1)	ATLV01021094.1_45844-46083:+	6.4e-53	98.8	UBC core domain-containing protein n=4 Tax=Culicidae  RepID=A0A182SYF5_9DIPT	NA	NA	Arthropoda
ATLV01_EVE042	low	29	maybe-viral (9), non-viral (7), viral (4)	uncharacterized protein (7), annotated protein of Eukaryota (5), VDB (4), annotated protein of unclassified root superkingdom (2), hypothetical protein (2)	ATLV01006411.1_1533-1784:+	5.24e-28	62.4	putative RNA-dependent RNA polymerase [Aedes aegypti To virus 2] acc=QPF16710.1 	putative RNA-dependent RNA polymerase [Aedes aegypti To virus 2] acc=QPF16710.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes aegypti To virus 2	Arthropoda
ATLV01_EVE043	low	29	maybe-viral (10), non-viral (6), viral (4), retro (1)	uncharacterized protein (8), annotated protein of Eukaryota (4), VDB (4), annotated protein of unclassified root superkingdom (2), hypothetical protein (2), reverse transcriptase (1)	ATLV01011964.1_1993-2250:+	4.84e-39	68.2	putative RNA-dependent RNA polymerase [Aedes aegypti To virus 2] acc=QPF16710.1 	putative RNA-dependent RNA polymerase [Aedes aegypti To virus 2] acc=QPF16710.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes aegypti To virus 2	Arthropoda
ATLV01_EVE044	low	29	maybe-viral (10), non-viral (6), viral (4), retro (1)	uncharacterized protein (8), annotated protein of Eukaryota (4), VDB (4), annotated protein of unclassified root superkingdom (2), hypothetical protein (2), reverse transcriptase (1)	ATLV01013878.1_5154-5411:+	4.84e-39	68.2	putative RNA-dependent RNA polymerase [Aedes aegypti To virus 2] acc=QPF16710.1 	putative RNA-dependent RNA polymerase [Aedes aegypti To virus 2] acc=QPF16710.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes aegypti To virus 2	Arthropoda
ATLV01_EVE045	low	29	non-viral (7), maybe-viral (6), viral (5), retro (3)	uncharacterized protein (6), annotated protein of Eukaryota (5), VDB (5), annotated protein of unclassified root superkingdom (2), retro (2), reverse transcriptase (1)	ATLV01014915.1_4420-4676:+	1.19e-34	72.4	uncharacterized protein LOC128735958 n=1 Tax=Sabethes cyaneus  RepID=UPI00237EABF9	putative RdRP [Lampyris noctiluca errantivirus 1] acc=QBP37036.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Metaviridae;g__Errantivirus;s__Lampyris noctiluca errantivirus 1	Arthropoda
ATLV01_EVE046	low	26	maybe-viral (13), non-viral (4), viral (3)	uncharacterized protein (12), annotated protein of Eukaryota (4), capsid (1), hypothetical protein (1), UDB Viruses (1), VDB (1)	ATLV01010093.1_1592-2299:+	1.25e-45	40.1	uncharacterized protein LOC108729885 isoform X1 n=2 Tax=Trachymyrmex zeteki  RepID=UPI00084E8989	coat protein [Wuhan fly virus 6] acc=AVK59491.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Wuhan fly virus 6	Arthropoda
ATLV01_EVE047	low	26	non-viral (10), maybe-viral (6), viral (4)	annotated protein of Eukaryota (10), uncharacterized protein (6), viral (4)	ATLV01022052.1_8743-8931:+	2.71e-42	100	Uncharacterized protein n=2 Tax=Myzorhynchus  RepID=A0A084WA84_ANOSI	NA	NA	Mollusca
ATLV01_EVE048	low	26	non-viral (15), viral (5)	annotated protein of Eukaryota (15), envelope (5)	ATLV01024094.1_14789-15501:+	5.97e-122	77	CTD nuclear envelope phosphatase 1 homolog n=171 Tax=Eumetazoa  RepID=CNEP1_DROPS	NA	NA	unclassified Metazoa phylum
ATLV01_EVE049	low	25	maybe-viral (9), non-viral (7), viral (3), retro (1)	uncharacterized protein (8), annotated protein of Eukaryota (5), VDB (3), annotated protein of unclassified root superkingdom (2), polyprotein protein (1), retro (1)	ATLV01011364.1_4747-5004:-	3.49e-34	66.3	polyprotein [Chibugado virus] acc=QHA33695.1 	polyprotein [Chibugado virus] acc=QHA33695.1 	k__Viruses;K__Pararnavirae;p__Artverviricota;c__Revtraviricetes;o__Ortervirales;f__Metaviridae;g__unclassified Metaviridae genus;s__Chibugado virus	Arthropoda
ATLV01_EVE050	low	25	non-viral (14), viral (5), maybe-viral (1)	annotated protein of Eukaryota (14), VDB (3), UDB Viruses (1), uncharacterized protein (1), viral (1)	ATLV01022681.1_18398-18625:+	1.42e-24	55.3	Death-associated inhibitor of apoptosis 2 n=1 Tax=Pseudolycoriella hygida  RepID=A0A9Q0NC31_9DIPT	inhibitor of apoptosis protein 3 [Anticarsia gemmatalis multiple nucleopolyhedrovirus] acc=ALR69934.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__Lefavirales;f__Baculoviridae;g__Alphabaculovirus;s__Alphabaculovirus angemmatalis	Arthropoda
ATLV01_EVE051	low	24	maybe-viral (10), non-viral (7), viral (3), retro (1)	uncharacterized protein (10), annotated protein of Eukaryota (5), VDB (3), annotated protein of unclassified root superkingdom (2), retro (1)	ATLV01005703.1_1077-1334:-	1.07e-30	64	uncharacterized protein LOC128735958 n=1 Tax=Sabethes cyaneus  RepID=UPI00237EABF9	RNA-dependent RNA polymerase [Kvarnon virus] acc=UYE93847.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kvarnon virus	Arthropoda
